[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
191,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2344,0,0,257,0
193,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2270,0,0,331,0
194,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2333,0,0,268,0
196,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2337,0,0,264,0
198,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2313,0,0,288,0
195,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2317,0,0,284,0
197,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2339,0,0,262,0
199,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2372,14,0,215,0
200,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2369,0,0,232,0
201,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2592,0,0,9,0
202,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2596,0,0,5,0
203,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2485,0,0,116,0
204,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2534,0,0,67,0
206,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
205,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2596,0,0,5,0
207,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2596,0,0,5,0
208,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2590,0,0,11,0
209,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2581,0,0,20,0
210,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2254,123,0,224,0
211,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2591,0,0,10,0
212,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
213,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2577,0,0,24,0
215,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2130,188,0,283,0
214,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2595,0,0,6,0
216,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2576,0,0,25,0
217,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
