[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
68,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1865,736,0,0,0
69,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2424,99,0,78,0
70,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1789,576,0,236,0
71,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2601,0,0,0,0
72,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2115,390,0,96,0
73,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1927,474,0,200,0
74,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1959,636,0,6,0
76,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2435,119,0,47,0
75,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2298,228,0,75,0
77,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2600,0,0,1,0
78,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2178,274,0,149,0
79,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2601,0,0,0,0
80,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2065,536,0,0,0
81,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2297,212,0,92,0
82,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2355,148,0,98,0
83,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1880,721,0,0,0
85,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2598,0,0,3,0
84,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1901,543,0,157,0
87,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2302,256,0,43,0
86,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2601,0,0,0,0
88,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2601,0,0,0,0
89,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2199,375,0,27,0
90,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2062,442,0,97,0
91,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2393,180,0,28,0
92,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2124,372,0,105,0
94,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2316,181,0,104,0
93,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2314,208,0,79,0
95,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2419,110,0,72,0
96,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2019,490,0,92,0
98,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2601,0,0,0,0
97,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2519,52,0,30,0
99,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2273,211,0,117,0
101,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2584,0,0,17,0
100,2,50,1,0.2,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,1906,430,0,265,0
104,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2584,0,0,17,0
103,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2578,0,0,23,0
102,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2522,0,0,79,0
105,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2571,0,0,30,0
106,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2481,45,0,75,0
107,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2554,0,0,47,0
108,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2548,0,0,53,0
109,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2325,101,0,175,0
110,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2338,129,0,134,0
111,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2536,0,0,65,0
113,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2574,0,0,27,0
114,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2565,0,0,36,0
112,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2390,59,0,152,0
115,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2532,0,0,69,0
116,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2455,17,0,129,0
118,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2572,0,0,29,0
117,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2543,0,0,58,0
120,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2542,0,0,59,0
119,2,50,1,0.3,-1,0.2,0.2,0.2,4,0.2,0,0.2,TRUE,200,2555,0,0,46,0
